1.109,7.331,-9.984,-0.151,-2.503, 0.348, 0.080, 0.226,0.347,0.174,0.000, 0.035, 0.240, 2.738,-0.519, 0.110, 1.219, 0.318, 0.131, 0.037, 0.384, 0.321, 2.964,-0.202, 0.241, 1.257,-0.076,-0.063, 0.000;
1.112,7.145,-9.566,-0.468,-1.953, 0.353, 0.083, 0.222,1.496,0.748,-1.179, 0.030, 0.239, 2.746,-0.535, 0.095, 1.235, 0.333, 0.146, 0.022, 0.383, 0.322, 2.968,-0.202, 0.241, 1.257,-0.076,-0.063, 0.000;
1.123,7.036,-9.634,-0.615,-1.983, 0.359, 0.083, 0.241,0.586,0.000,1.665, 0.021, 0.242, 2.741,-0.595, 0.150, 1.174, 0.391, 0.089, 0.082, 0.381, 0.324, 2.982,-0.204, 0.239, 1.257,-0.075,-0.064, 0.000;
1.145,7.080,-10.346,-0.471,-2.794, 0.364, 0.085, 0.245,0.202,0.101,0.175, 0.012, 0.245, 2.765,-0.710, 0.036, 1.059, 0.502, 0.200, 0.198, 0.376, 0.330, 3.010,-0.207, 0.236, 1.257,-0.074,-0.065, 0.000;
1.150,5.847,-10.772,-1.584,-3.341, 0.368, 0.087, 0.245,0.974,0.487,0.000, 0.007, 0.244, 2.771,-0.687, 0.059, 1.082, 0.479, 0.177, 0.175, 0.375, 0.331, 3.016,-0.208, 0.236, 1.257,-0.074,-0.065, 0.000;
1.161,6.123,-10.788,-1.355,-3.310, 0.373, 0.087, 0.261,0.394,0.000,1.380, 0.000, 0.246, 2.769,-0.631, 0.115, 1.022, 0.422, 0.120, 0.234, 0.373, 0.333, 3.030,-0.209, 0.234, 1.257,-0.074,-0.066, 0.000;
1.172,6.600,-10.751,-0.786,-3.365, 0.377, 0.089, 0.261,0.392,0.196,0.000,-0.007, 0.247, 2.784,-0.576, 0.056, 0.964, 0.364, 0.177, 0.292, 0.370, 0.336, 3.044,-0.211, 0.233, 1.257,-0.073,-0.066, 0.000;
1.195,6.340,-10.297,-0.990,-2.967, 0.382, 0.092, 0.261,0.202,0.101,0.000,-0.016, 0.250, 2.811,-0.690,-0.057, 1.076, 0.475, 0.287, 0.181, 0.366, 0.341, 3.072,-0.214, 0.230, 1.257,-0.072,-0.067, 0.000;
1.198,5.287,-10.913,-2.267,-3.358, 0.386, 0.094, 0.261,1.300,0.650,0.000,-0.021, 0.248, 2.816,-0.672,-0.041, 1.093, 0.458, 0.270, 0.164, 0.365, 0.342, 3.076,-0.215, 0.229, 1.257,-0.072,-0.067, 0.000;
1.209,5.388,-10.965,-2.201,-3.376, 0.388, 0.094, 0.261,0.206,0.000,0.000,-0.026, 0.251, 2.829,-0.619, 0.013, 1.148, 0.403, 0.215, 0.109, 0.363, 0.344, 3.090,-0.216, 0.228, 1.257,-0.072,-0.068, 0.000;
